순번(No),광고회사,주소,전화번호
532,주식회사 모투스 컴퍼니,서울특별시 용산구 녹사평대로11길 58  (서빙고동),02-3780-0012
533,태영애드,"대구광역시 수성구 수성로 165 광명아파트 A동 지하상가 1-1호 (중동, 광명맨션)",053-763-9288
534,(주)와이컴,대구광역시 동구 동대구로 441  (신천동),053-757-5132
535,(주)위놉스,제주특별자치도 제주시 첨단로 241 방송통신융합센터 201 (영평동),064-721-3330
536,(주)씨엠스나인,경기도 시흥시 호현로 86 3층 (대야동),02-8234-2429
537,(주)레드커뮤니케이션,서울특별시 강남구 강남대로132길 4 진빌딩3층 (논현동),02-516-8993
538,(주)본팩토리,서울특별시 강남구 삼성로119길 45 4층(삼성동),02-3444-1055
539,(주)결커뮤니케이션즈,"서울특별시 마포구 연남로 47 302호(연남동, 영진빌딩) (연남동)",070-8895-3153
540,(주)빅트리파트너스,서울특별시 양천구 목동동로 233 (목동) 12층,02-2183-0090
541,(주)로코,서울특별시 중구 퇴계로20나길 9 (남산동2가) 온누리빌딩,070-7525-5352
542,(주)컬러드스톤미디어그룹,"서울특별시 금천구 가산디지털2로 67  (가산동) 에이스하이엔드타워 7, 1503호",070-4837-4930
543,(주)미쓰윤,서울특별시 서초구 양재천로17길 3  (양재동) 미쓰윤 드 빌라 2층,02-522-2266
544,주식회사 앙세다,충청북도 청주시 흥덕구 짐대로 20 202 (복대동),043-275-9777
545,(주)애드오션컴,서울특별시 마포구 동교로 181-7 3층 (동교동),02-790-2386
546,(주)지엑스,"부산광역시 해운대구 센텀동로 41 센텀벤처타운 612호 (우동, 센텀벤처타운)",051-418-4134
547,미디어커뮤니케이션(주),서울특별시 마포구 마포대로 127 풍림브이아이피텔 714호(공덕동),02-703-7008
548,(주)피아미디어그룹,"서울특별시 영등포구 양산로 57-5 307호 (양평동3가, 양평동 이노플렉스)",02-1877-0753
549,(주)에이사이드,전라북도 전주시 완산구 황강서원4길 3-6  (효자동3가),063-225-8417
550,(주)카메디아스퀘어,"부산광역시 해운대구 센텀동로 41  (우동, 센텀벤처타운)",070-4322-2028
551,(주)클콩,서울특별시 마포구 성암로 330 DMC첨단산업센터 524 (상암동),02-584-1224
552,(주)위즈씨엔아이,광주광역시 서구 화개중앙로49번길 6  (금호동),062-383-2838
553,(주)하이브파트너스,대전광역시 유성구 유성대로811번길 8 드림빌딩 (장대동),042-486-5552
554,(주)컴퍼니에프,서울특별시 마포구 와우산로 57 2층 (상수동),02-334-7191
555,(주)브이컴,"서울특별시 송파구 위례성대로16길 27  (방이동, 거성빌딩)",070-4390-3821
556,(주)케이에스씨,강원도 원주시 치악로 1497 3층 (관설동),033-743-3125
557,(주)컴퍼니93,서울특별시 서초구 신반포로 325 5층 502-2호 (잠원동),070-8883-5350
558,(주)아트렉,서울특별시 서초구 강남대로97길 64 대일빌딩 3층 302호 (잠원동),02-541-9655
559,(주)리애드커뮤니케이션,서울특별시 강동구 상암로 103 유도빌딩2층 (암사동),02-421-9102
560,(주)코리아커뮤니케이션즈,대구광역시 중구 대봉로 200 세원빌딩 4층 (대봉동),053-427-4312
561,(주)에브리미디어,서울특별시 영등포구 국회대로76길 18 오성빌딩 8층 801-2 (여의도동),02-786-6666
562,(주)피피엘카,경기도 고양시 일산동구 고풍로43번길 32-1  (풍동),031-4100-0939
563,(주)프리어,"서울특별시 강서구 마곡서로 152  (마곡동, 두산더랜드타워 B-1119호)",02-2647-9156
564,(주)선을만나다,서울특별시 서대문구 연희로15길 46  (연희동),02-739-4931
565,(주)피치커뮤니케이션,서울특별시 서초구 강남대로23길 64 대산빌딩 2층 (양재동),02-543-5600
566,(주)트렌드이슈폴리시,"서울특별시 강남구 도산대로55길 20 4층 (청담동,영빌딩)",02-511-4944
567,(주)애드타임컴퍼니,"서울특별시 서초구 방배중앙로 156 2층 (방배동,희수빌딩) ",02-584-3101
568,주식회사리프로덕션,"부산광역시 남구 수영로325번길 12     501동 비108호 (대연동, 대우푸르지오아파트)",051-623-1245
569,(주)에이치디아이미디어,경상북도 포항시 북구 법원로11번길 6-1  (장성동),054-246-6650
570,위크리에이트(주),서울특별시 강서구 마곡중앙로 161-8  (마곡동 두산더랜드파크) C동 813호,070-8711-9569
571,(주)애드파워(서울),"서울특별시 강남구 언주로 641 1703호(논현동, 펜트힐 루 논현)",02-556-8957
572,(주)아람비,서울특별시 중구 마른내로12길 26  (충무로5가) 경원빌딩 2층,02-6743-3300
573,(주)엠에스미디어,서울특별시 영등포구 여의대방로65길 20 호성빌딩 신관 9층 310호 (여의도동),070-8964-9272
574,(주)스포티즌,"서울특별시 강남구 삼성로 739 신관 4,5층 (청담동)",02-2179-3871
575,(주)캔컴,서울특별시 강남구 논현로117길 7 대운빌딩 3층 (논현동),02-518-1996
576,(주)유-미디어,전라남도 목포시 비파로 20  (상동),061-279-8001
577,(주)크레타커뮤니케이션,"부산광역시 해운대구 APEC로 17 번길   2209호(우동, 센텀리더스마크) (우동)",051-925-9090
578,(주)이노컴즈,서울특별시 금천구 가산디지털2로 98 롯데아이티캐슬 2동209호 (가산동),02-6959-6945
579,(주)빅토리커뮤니케이션,"서울특별시 송파구 송파대로 201 지129-1 (TB-12)호 (문정동, 테라타워2)",070-4200-4338
580,(주)디플래너,대전광역시 서구 문정로40번길 10  (탄방동),042-335-2111
581,(주)와이컴(부산),"부산광역시 부산진구 동천로 10-1 2507호 (전포동, 서면노르웨이의아침)",051-818-0113
582,(주)고공,대구광역시 남구 현충로 170 창업보육센터 805호 (대명동),053-1644-2377
583,(주)아이디어파이,강원도 춘천시 운천길 28-29 (410) (운교동),070-8255-8966
584,(주)네오팝콘,"서울특별시 강서구 양천로 551-17  (1211호) (가양동, 비즈메트로1차)",02-6264-9995
585,(주)자이언트스텝,서울특별시 강남구 학동로37길 8  (논현동),02-549-0005
586,(주)애드워드,서울특별시 서초구 마방로10길 5 17층 (양재동),02-2178-8300
587,(주)부시기획,서울특별시 강남구 학동로6길 8 범우빌딩 3층 (논현동),02-2268-7738
588,(주)포나인커뮤니케이션,광주광역시 서구 상무대로673번길 8  (마륵동),062-383-0085
589,(주)원커뮤니케이션,서울특별시 관악구 신림로66길 29 (2층 203호) (신림동),070-4256-4823
590,(주)커뮤니케이션즈키,서울특별시 강남구 언주로126길 17 와이빌라301호 (논현동),02-517-9157
591,(주)비즈제이,서울특별시 노원구 화랑로 449-7 (101) (공릉동),02-352-6621
592,(주)스쿨터치,"서울특별시 강남구 학동로101길 26 (415-1호) (청담동, 청담 삼익상가)",070-8146-2826
593,(주)블루스크린,서울특별시 서초구 나루터로 59 (4층) (잠원동),02-511-5292
594,(주)지담,서울특별시 영등포구 국회대로76길 22 기계진흥회관 신관 11층 (여의도동),02-3445-5770
595,(주)애드플래닛커뮤니케이션,서울특별시 영등포구 당산로41길 11 E동 12층 1207호 (당산동4가),02-855-1839
596,(주)액센티브,"서울특별시 마포구 와우산로 134 ,3층 (창전동)",02-555-3872
597,포비컴(주),서울특별시 강남구 논현로152길 34 (신사동) 선인빌딩 3층,02-545-5074
598,(주)케이블애드컴,"경기도 부천시 원미구 상일로 120 송내리더스텔 817호 (상동,송내리더스텔)",032-665-5508
599,(주)현애드컴,서울특별시 서대문구 충정로 53 골든타워 빌딩 1510호 (충정로2가),02-312-0050
600,(주)주영컴,부산광역시 수영구 광안해변로 348  (민락동),051-757-5373
601,(주)넥스트라운드,서울특별시 강남구 봉은사로49길 38 (4층) (논현동),02-3446-9795
602,심플렉스인터넷(주),서울특별시 동작구 보라매로5길 15 전문건설회관 (신대방동),02-3284-0300
603,커뮤니크(주),서울특별시 용산구 한강대로44길 14  (한강로2가),02-788-7300
604,(주)강솔미디어,서울특별시 마포구 양화진길 23 에스엘파크2층 (합정동),070-8146-7701
605,(주)티아이디커뮤니케이션,"경기도 의왕시 이미로 40 A동-604호(포일동, 인덕원 IT밸리)",02-6232-9722
606,(주)필라멘트리,서울특별시 강남구 봉은사로49길 17  (논현동),02-517-2102
607,(주)엠트리,서울특별시 서초구 사평대로52길 2 덕일빌딩 3층 (서초동),02-6052-6400
608,(주)비아이스트라코리아,"서울특별시 서초구 강남대로37길 56-18 3층 (서초동, 에메랄드 빌딩) (서초동)",02-542-4168
609,(주)스타세븐,서울특별시 마포구 독막로8길 15 엔더블유에이치빌딩 204호 (합정동),02-337-0487
610,(주)포애드원,서울특별시 중구 통일로 86 바비엥3차 909호 (순화동),02-6399-6363
611,(주)파란애드컴,경기도 안양시 동안구 학의로 282 금강펜테리움아이티타워 B-1724 (관양동),031-463-1048
612,(주)오브제길드,서울특별시 강남구 도산대로26길 17 (1층) (논현동),02-3446-7681
613,(주)우라늄이삼팔,서울특별시 강남구 논현로133길 10  (논현동),02-548-5238
614,(주)미디어와이즈,서울특별시 중구 서소문로 38 대우디오센터 507 (중림동),070-7755-3478
615,(주)다올커뮤니케이션즈,"서울특별시 강남구 도곡로 148 2층 (도곡동, 하우빌딩)",02-2069-0680
616,주식회사 위라,"부산광역시 남구 신선로 365 (용당동, 부경대학교용당캠퍼스창업보육센타) (용당동)",051-627-3131
617,(주)스게티,경기도 성남시 분당구 서현로 170 풍림아이원플러스 B-1405 (서현동),031-708-6271
618,이노마스(주),"서울특별시 강남구 선릉로112길 71 유진빌딩 5, 6층 (삼성동)",02-583-6040
619,(주)플러스토닉,서울특별시 송파구 충민로 10 가든파이브 툴 5층 165호 (문정동),070-4105-0678
620,하트미디어(주),서울특별시 마포구 동교로 134 미진빌딩 6층 (서교동),02-338-1170
621,(주)아이티라인,"서울특별시 강남구 영동대로 648 삼안빌딩 6층, 7층, 8층 (삼성동)",02-3480-5500
622,(주)콜온,"대전광역시 동구 동대전로110번길 4 (대동, 금송빌딩) (대동)",042-223-2579
623,(주)이스트마케팅그룹,서울특별시 강남구 봉은사로 327 궁도빌딩 9층 (논현동),02-3444-8034
624,(주)셀트리온엔터테인먼트,서울특별시 서초구 강남대로99길 7  2층 (잠원동),02-782-7362
625,(주)광개토커뮤니케이션즈,"서울특별시 송파구 오금로36길 13-1 2층, 3층 (가락동)",02-425-5660
626,(주)원앤원엔터테인먼트,강원도 원주시 판부면 매봉길 3 ,033-747-7725
627,주식회사 대광커뮤니케이션,"부산광역시 해운대구 센텀북대로 60 1602호(재송동, 센텀아이에스타워) (재송동)",051-214-7335
628,(주)애디렙,부산광역시 수영구 남천동로 107  (남천동),051-717-0525
629,오브라운(주),서울특별시 강남구 테헤란로 437 삼영빌딩 8층 (삼성동),02-557-6203
630,(주)한뫼,"경기도 성남시 분당구 성남대로916번길 7 302 (야탑동,서일빌딩)",070-4733-4455
631,주식회사 그레이아츠컴퍼니,대전광역시 유성구 노은서로250번길 52  (지족동),042-382-7737
632,울림컴퍼니(주)(광주),광주광역시 동구 금남로 238  (금남로2가),062-374-1013
633,(주)애드마이비지니스,대전광역시 서구 동서대로 692  (도안동),070-5001-5802
634,(주)더블유컴즈,서울특별시 구로구 디지털로30길 28 9층 913호 (구로동),070-8891-8889
635,(주)앤펀,대구광역시 수성구 달구벌대로528길 15 309호 (만촌동),053-754-1277
636,(주)에이치앤코,서울특별시 강남구 선릉로157길 27  (신사동) 4층,02-6225-0630
637,에스알픽쳐스(주),서울특별시 강남구 학동로101길 21 3층 (청담동 신우빌딩) (청담동),02-6368-9889
638,(주)한국이노베이션,서울특별시 서초구 양재천로 113-6  (양재동),02-2106-7500
639,(주)위드커뮤니케이션(부산),경상남도 김해시 장유로 293-2  (무계동),055-312-3043
640,(주)벡터컴,서울특별시 강남구 논현로81길 12  (역삼동) 조앤리빌딩 2층,02-511-5934
641,(주)도브투래빗,서울특별시 성동구 성수이로22길 60 (성수동2가) 5층,02-552-3577
642,(주)얼리스프링,서울특별시 강남구 강남대로92길 31 민석빌딩 3층,070-4618-3849
643,(주)더원미디어넷,서울특별시 성동구 광나루로8길 10 에이스성수타워 404호 (성수동2가),02-462-2084
644,(주)라온팩토리,대전광역시 유성구 대덕대로 530 라열 305 (도룡동),042-861-7752
645,(주)제이커머스,서울특별시 영등포구 양평로22길 21 808-809호 코오롱디지털타워) (양평동5가),02-6737-4500
646,(주)씨케이애드,서울특별시 강서구 곰달래로 120 월드오피스텔 9층 905호 (화곡동),070-7817-0404
647,(주)위드플라이커뮤니케이션즈,서울특별시 강남구 선릉로 743 4층 사코빌딩 (논현동),02-517-2311
648,(주)올컴미디어,"서울특별시 중구 세종대로20길 23 801호 (무교동, 원창빌딩) (무교동)",02-752-7912
649,(주)올림커뮤니케이션즈,충청북도 청주시 흥덕구 사운로 314  (신봉동),043-275-1900
650,(주)휴엔아이,"경기도 부천시 송내대로265번길 17 ,506호(상동, 효성프라자)",032-662-3374
651,엔에이치엔엔터테인먼트(주),경기도 성남시 분당구 대왕판교로645번길 16  (삼평동),031-1800-0704
652,주식회사 올바로,서울특별시 강남구 선릉로76길 22 3층 (대치동),02-858-5858
653,(주)코스믹,서울특별시 광진구 능동로38길 34-5 보길빌딩 202호 (중곡동),02-462-7475
654,(주)코아앤,부산광역시 해운대구 해운대해변로 154  (우동),051-744-6173
655,(주)유커뮤니케이션즈,서울특별시 강남구 테헤란로33길 5  (역삼동) 11층,02-515-6333
656,(주)다인네트웍스,경기도 안양시 동안구 흥안대로427번길 72 문화스마트빌딩6층 (관양동),02-701-8566
657,(주)디토모션,경기도 성남시 분당구 판교역로 230 B동 5층 8-1호 (삼평동),070-7646-1378
658,(주)리앤컴,"서울특별시 중구 정동길 12-10 정동힐스 2,3층 (정동)",02-776-2540
659,(주)미디어마인드,서울특별시 강남구 도곡로 419 2층 (대치동),070-4837-2425
660,(주)제이케이인스퍼레이션,서울특별시 강서구 양천로 694-16 4층,02-6396-8308
661,(주)탁,서울특별시 마포구 양화로10길 50 마이빌딩  (서교동),02-3142-7710
662,(주)미루애드,서울특별시 강남구 자곡로 191 강남푸르지오시티 1차  (자곡동),02-445-3953
663,(주)투데이애드,"제주특별자치도 제주시 삼무로1길 10-8 (연동)8층, 제주연동일성트루엘",02-2604-3711
664,(주)프로덕션 고추잠자리,광주광역시 서구 상무대로967번길 19 지하1층 (쌍촌동),062-653-8465
665,(주)행복한소리,서울특별시 금천구 가산디지털1로 1 더루벤스밸리 1006호,02-2643-7585
666,(주)미디어하프,서울특별시 영등포구 당산로41길 11 당산 SK V1 센터 W동 B305호,02-732-5359
667,(주)피터팬랩,서울특별시 강남구 언주로85길 29  (역삼동) 4층,070-4820-0081
668,(주)이상커뮤니케이션,부산광역시 중구 중앙대로 114  (중앙동4가),051-467-7757
669,(주)이지스커뮤니케이션즈,서울특별시 강남구 논현로81길 8 화진빌딩 (역삼동),02-566-1372
670,(주)에이블리커뮤니케이션즈,서울특별시 강남구 테헤란로33길 35 펠릭스빌딩 (역삼동),070-4888-1094
671,(주)데이트,서울특별시 서초구 서초대로 397 BEHD 1003호 부티크 모나코 (서초동),02-534-4758
672,(주)팩토리나인컴퍼니,"서울특별시 강남구 테헤란로64길 13 1011에이호 (대치동, 선릉역 풍림아이원레몬)",02-6487-7899
673,주식회사 제주아이원,"제주특별자치도 제주시 도령로 54 (노형동), 711호",064-799-6996
674,에그피알(주),서울특별시 중구 정동길 12-11 카리스타워 5층 (정동),02-318-8317
675,(주)니드커뮤니케이션,서울특별시 금천구 가산디지털2로 136 304호 승일벤처타워 3층 (가산동),02-337-2002
676,(주)네고컴퍼니,"서울특별시 서초구 동작대로 186 6층 (방배동, 신흥빌딩)",02-2039-5411
677,(주)애드마기획,서울특별시 서초구 사평대로52길 12 3층 (서초동),02-2026-7120
678,(주)제이디네트웍스,광주광역시 북구 연양로 32 3층 (연제동),070-4154-7727
679,(주)미라클플랜,서울특별시 금천구 디지털로9길 46 이앤씨드림타워7차 1301호 (가산동),02-6959-1979
680,(주)밀크팩토리,서울특별시 서초구 도구로 122 2층 (방배동),070-4278-7602
681,(주)스토리컴,서울특별시 강남구 논현로146길 16 2층 (논현동),070-8262-1152
682,(주)큐라인커뮤니케이션즈,서울특별시 마포구 마포대로 127 911호 풍림브이아이피텔 (공덕동),070-4162-7142
683,(주)지피,"경상남도 창원시 마산회원구 봉양로 88  (봉암동), C동 103호",055-293-0922
684,주식회사 이루다,대전광역시 서구 둔산로137번길 31 건우빌딩 5층 (둔산동),042-1566-7699
685,(주)엔엠이디아이에이,서울특별시 서초구 반포대로20길 36 화성빌딩 202호 (서초동),02-525-8990
686,주식회사 비비콤,대전광역시 서구 둔산서로 31  (둔산동),042-719-4242
687,(주)쇼닥터,"서울특별시 종로구 창경궁로 247-1 ,2층 (명륜2가)",02-318-4419
688,초이스컴(주),"서울특별시 영등포구 영등포로28길 5 161호 (당산동1가, 당산동 코오롱 주상복합아파트)",070-4245-9599
689,(주)오덱스커뮤니케이션스,서울특별시 중구 서소문로 103 배재빌딩 412호 (서소문동),02-755-7798
690,주식회사아나나스,부산광역시 남구 신선로 365 부경대학교용당캠퍼스 10공학관401호 (용당동),070-8233-9640
691,(주)스윙커뮤니케이션,서울특별시 양천구 신정중앙로21길 2-1 2층 (신정동),02-2602-5605
692,(주)전파상프로덕션,서울특별시 강남구 압구정로30길 74 성호빌딩 4층 (신사동),02-540-0252
693,(주)아일랜드스토리,제주특별자치도 제주시 첨단로 213-3  (영평동)스마트빌딩1층 116호,070-4286-4464
694,(주)프로븐,서울특별시 강남구 역삼로 558 안양빌딩 (대치동),02-3496-6100
695,(주)비바체엔터테인먼트,서울특별시 마포구 상암산로 76 10층 와이티엔뉴스퀘어 (상암동),02-761-1073
696,(주)퍼플랩아이앤씨,서울특별시 용산구 독서당로 122-1 (6층) (한남동),02-541-1103
697,(주)리컴퍼니,경기도 성남시 분당구 대왕판교로 670 비동501-1호 (삼평동),031-703-6900
698,(주)시너지플랜트,"서울특별시 강남구 영동대로 602 (삼성동, 삼성동 미켈란 107) 6층 삼성글로비즈 6호",02-522-7731
699,(주)대경애드컴,대구광역시 동구 송라로 64 4층 (신천동),053-254-9114
700,(주)아트판타지아,대구광역시 북구 학정로 132-1  (태전동),02-1661-5680
701,한피알(주),서울특별시 강남구 압구정로72길 21 부원빌딩 3층 (청담동),070-3223-1037
702,(주)인투크리에이티브그룹,서울특별시 강남구 논현로 715 4층 가나빌딩 (논현동),02-3446-3062
703,(주)크리에이티브빅,서울특별시 종로구 혜화로9길 7 3층 (명륜1가),02-6414-3478
704,(주)타임투,서울특별시 용산구 새창로 213-12 413호 (한강로2가),02-6101-0897
705,(주)서경방송,"경상남도 진주시 진양호로 532 (동성동, 삼광빌딩5층) (동성동)",055-740-3001
706,(주)타임스퀘어코리아,서울특별시 서초구 신반포로 194 8층 301호 (반포동),02-6227-5240
707,(주)아우라씨엔씨,서울특별시 영등포구 영등포로5길 31 동애빌딩 503호 (양평동2가),02-3775-0890
708,(주)지지씨에스(GGCS),"서울특별시 영등포구 국회대로 800 , 511호(여의도동, 여의도파라곤)",02-6672-3030
709,(주)해냄커뮤니케이션,서울특별시 마포구 매봉산로 72 상상큐브 4층 (상암동),02-780-3077
710,(주)다음사람,서울특별시 금천구 가산디지털1로 165 5층 501호 (가산동),02-6959-5895
711,(주)에스지크리에이트,"서울특별시 영등포구 국제금융로 70 604호 (여의도동, 미원빌딩)",02-786-9990
712,(주)원츠메이커,서울특별시 강남구 언주로153길 8 3층 (신사동),02-786-0701
713,프롬투커뮤니케이션즈(주),서울특별시 서초구 강남대로51길 10  비1층 106-202호(서초동),
714,(주)프로스앤찬스,서울특별시 강남구 논현로150길 24 3층 (논현동),02-547-4982
715,(주)유앤아이미디어벤처,대구광역시 북구 복현로20길 40-29  (복현동),053-657-4500
716,(주)팀티그리스,대구광역시 북구 영송로 15 대구보건대학교 창업보육센터4층 5404호 (태전동),053-323-0663
717,(주)디자인통,대구광역시 중구 서성로 56-1 서일빌딩 별관B1 (서성로1가),053-254-0488
718,(주)씨에스애드,서울특별시 강남구 테헤란로20길 18 6층(역삼동),02-462-7475
719,(주)뉴스1부산경남,부산광역시 동래구 여고로 1  (사직동),051-990-1000
720,(주)타이밍벨트,서울특별시 마포구 연희로 11 5층 S-555호 (동교동),070-8800-5335
721,(주)이츠커뮤니케이션즈,서울특별시 서초구 신반포로45길 9-26 은정빌딩 301호 (잠원동),02-517-1128
722,미엔(주),서울특별시 강서구 강서로 499 4층 (가양동),070-4804-3326
723,(주)소담컴퍼니,서울특별시 강남구 학동로9길 13 303호 (논현동),02-541-9086
724,(주)제이원,서울특별시 강남구 논현로133길 12  (논현동) 능원타워 4층,02-2088-0799
725,(주)진커뮤니케이션즈,서울특별시 서대문구 서소문로 37 캔두비즈센터 106호 (합동),02-362-1017
726,주식회사 스타크래드컴,부산광역시 해운대구 센텀동로 71 벽산e클래스원 2차 1108호 (우동),051-744-5560
727,(주)메디치애드,서울특별시 송파구 송파대로 167 문정역테라타워 비동 1411호 (문정동),02-541-9938
728,주식회사 정권기획,부산광역시 남구 수영로 312 2003호 (대연동),051-610-0008
729,메가존(주),"서울특별시 강남구 논현로85길 46 갈라빌딩 6,7층 (역삼동)",02-2109-2500
730,(주)중앙애드넷아이엔씨,서울특별시 구로구 디지털로26길 5 513호 에이스하이엔드타워1차 (구로동),02-2276-1947
731,(주)헤라엠엔씨,서울특별시 영등포구 국제금융로8길 34 1201호 오륜빌딩 (여의도동),02-782-7653
732,에이콘플러스(주),서울특별시 성동구 아차산로 122 지하1층 백석빌딩 (성수동2가),02-516-8895
733,(주)에스프리애드,서울특별시 서초구 강남대로51길 10 비1층 105-98호 (서초동),02-6349-3352
734,(주)애드믹스커뮤니케이션즈,서울특별시 서초구 강남대로47길 20 5층 KGC (서초동),02-421-9121
735,(주)파루커뮤니케이션,서울특별시 영등포구 영등포로5길 19  (양평동2가) 804호 ,02-2649-8818
736,(주)다른커뮤니케이션,"서울특별시 용산구 한강대로62다길 16 , 지1층 02호(한강로1가, 서울앙상블)",02-532-9688
737,주식회사 나인커뮤니케이션,"부산광역시 연제구 월드컵대로243번길 19 상가 803호 (거제동, 거제동원타워)",051-553-0422
738,(주)몽고나무,"서울특별시 금천구 가산디지털1로 70 호서대벤처타워 506,507호 (가산동)",02-583-8682
739,(주)워너비커뮤니케이션,"서울특별시 강남구 테헤란로 322 1618,1619호 한신인터밸리24(서관) (역삼동)",02-2183-0560
740,(주)엠원커뮤니케이션즈,서울특별시 중구 동호로 272 웰콤시티 (장충동2가),02-6271-6600
741,(주)매쉬커뮤니케이션,서울특별시 마포구 희우정로3길 23 201호 (합정동) 명랑빌딩,02-6959-5755
742,(주)마제스타지,"서울특별시 강남구 논현로 748 4층 (논현동, 세화빌딩)",02-515-9473
743,(주)애드크로스,서울특별시 강남구 광평로 280 1839호 로즈데일오피스텔 (수서동),070-7714-3231
744,(주)이엠스타,서울특별시 금천구 가산디지털2로 123 월드메르디앙2차 308호 (가산동),02-861-2291
745,(주)애플트리마케팅,경기도 안양시 만안구 안양로 303 메쎄포스빌 1422호 (안양동),070-8944-0507
746,(주)상상오디자인,광주광역시 서구 상무대로 1059  (화정동),062-383-6526
747,(주)정글엠앤씨,서울특별시 서초구 효령로 62 백산빌딩 2층 (방배동),02-585-3923
748,(주)디에이치컴,"경기도 고양시 덕양구 으뜸로 130 4층 402호(덕은동, 위프라임트윈타워)",02-2233-5851
749,(주)일레븐,서울특별시 강남구 논현로 622 금은빌딩 5층 (논현동),02-3444-5111
750,(주)블루라임커뮤니케이션즈,서울특별시 강남구 테헤란로52길 15 금천빌딩 1206호 (역삼동),02-568-1175
751,(주)엠아이플랜,"서울특별시 노원구 동일로241길 53 종합상가 2층 213호 (상계동, 두산아파트)",02-6238-3338
752,호렙솔루션(주),서울특별시 강남구 논현로 507 성지하이츠3차빌딩 814호 (역삼동),02-538-5071
753,옴니콤미디어그룹코리아(주),서울특별시 강남구 테헤란로 223 (역삼동) 큰길타워 9층,02-2092-6702
754,(주)유나스엔터테인먼트,"서울특별시 강남구 도산대로 50길 25 2층, 3층(논현동)",02-533-9501
755,(주)드림솔루션,인천광역시 연수구 송도과학로 32 M동 1104-5 호 (송도동),032-830-4855
756,(주)샴페인,서울특별시 마포구 양화로 125 경남관광빌딩 10층 (서교동),02-3143-6110
757,(주)디씨엘컴퍼니,서울특별시 서대문구 이화여대3길 33 지층 216호(대현동),02-338-9256
758,그랑몬스터(주),"서울특별시 강남구 도산대로 220  12-14층 (논현동,엠포리아빌딩)",02-3446-7780
759,(주)디에이와이크리에이트,서울특별시 양천구 목동서로 225 1308호(예술인회관)  (목동),070-4210-1021
760,(주)레디엔터테인먼트,서울특별시 강남구 언주로130길 13  (논현동)다은빌딩 2층,02-6900-0900
761,(주)미클리컴미디어,서울특별시 강남구 삼성로96길 14  (삼성동),02-6267-8953
762,엘케이컴글로벌(주),서울특별시 영등포구 국회대로70길 7 613호 (여의도동),02-780-1067
763,인터브랜드(주),서울특별시 강남구 언주로 620 현대인텔렉스빌딩 (논현동),02-515-9150
764,(주)한이미디어,경상북도 포항시 남구 중앙로 154 1612호 (해도동),053-0000-0000
765,(주)오버맨,서울특별시 서초구 강남대로85길 20  (반포동) 오브이엠,02-6395-8804
766,주식회사 더퀘스천,"서울특별시 강남구 테헤란로86길 12 6층(대치동, 티케이오케이빌딩)",02-2277-0102
767,주식회사 기성상사홀딩스,서울특별시 송파구 백제고분로41길 24-27  (송파동) b102,02-836-5152
768,(주)지구미디어,서울특별시 강남구 학동로1길 19  (논현동),02-516-8815
769,주식회사 리얼파트너스,"부산광역시 해운대구 달맞이길117번다길 170-1  (중동, 대일빌라)",070-8965-5141
770,(주)조이콤미디어,서울특별시 강남구 도산대로53길 16 5층 (신사동),
771,로드미디어(주),서울특별시 강남구 테헤란로82길 15 디아이타워 292호 (대치동),
772,(주)아이디어달리,서울특별시 강남구 테헤란로78길 14-12 (대치동) 동영빌딩 11층 ,02-3448-8899
773,(주)정글,광주광역시 동구 동계천로 150  (동명동) 204호,062-229-0140
774,(주)명진광고대행,광주광역시 서구 상무대로 719  (치평동),062-526-0246
775,(주)디지탈레코드,"서울특별시 마포구 월드컵로25길 26  102동 704호(망원동, 마포영화블렌하임)",02-512-7684
776,(주)영남수정원,부산광역시 해운대구 대천로106번길 26-10  (좌동),051-746-6277
777,(주)게르다애드,서울특별시 영등포구 선유로13길 25 에이스하이테크시티2차 417호 (문래동6가),02-501-2396
778,(주)서울미디어그룹,서울특별시 서초구 논현로31길 14  (양재동),02-523-8541
779,(주)코이픽쳐스,서울특별시 마포구 독막로19길 45-9  (상수동),02-714-6320
780,(주)애드쿠아인터렉티브,"서울특별시 강남구 언주로 637 2,3,4층 (논현동, 싸이칸타워)",02-408-0214
781,주식회사 에스앤엘파트너스,부산광역시 수영구 광안해변로 361  (민락동),051-747-3811
782,해시태그,충청북도 청주시 청원구 안덕벌로104번길 28 310호(내덕동),043-297-1111
783,(주)크레마,서울특별시 강남구 강남대로128길 73  (논현동),02-511-6239
784,(주)드림캐쳐,경기도 남양주시 진접읍 해밀예당1로 49 1101동 1503호 (남양휴튼아파트),
785,(주)포트폴리오,서울특별시 강남구 언주로 727 6층 (논현동),02-3444-9100
786,주식회사 한울커뮤니케이션,"부산광역시 해운대구 좌동순환로 473  (중동,해운대비치로데오아울렛3층)",051-741-3774
787,(주)펜타슬론,서울특별시 강남구 봉은사로37길 37 리고빌딩 2층 (논현동),02-6925-0161
788,주식회사 애드트리즈,대구광역시 동구 장등로 32 5층 (신천동),070-4774-7959
789,주식회사 붐 팩토리,"대구광역시 남구 현충로 170 301호, 영남이공대학교 산학협력관 (대명동)",053-767-9956
790,(주)더스프링컴퍼니,"서울특별시 용산구 한강대로30길 25  (한강로2가, 아스테리움 용산) 비동 1103호",02-796-1088
791,제이업(주),경기도 과천시 별양로 46 레미안슈르C상가 302호 (원문동),02-507-7668
